date,XS1,XS2,XS3,XS4,XS5,XS6,XS7,XS8,XS9,XS10
1993-06-01,0.0201671,0.0513963,0.0113863,0.038685,0.0165773,0.0051663,0.0146432,0.0162847,0.0211901,0.0095977
1993-07-01,0.0245516,0.0229971,0.0143362,-0.0127024,0.001868,0.0069889,-0.0068618,-0.0008095,0.0153999,0.01056
1993-08-01,0.0877147,0.062984,0.0586059,0.0740944,0.0940685,0.0882792,0.0777133,0.05583,0.0586744,0.0670639
1993-09-01,0.0138066,0.0133655,0.0220025,0.0212927,0.0124187,0.0037832,-0.0129883,-0.0162709,-0.0271997,-0.030407
1993-10-01,0.0375375,0.0113321,0.0309032,0.0135857,0.0257965,0.0340402,0.0083911,0.0065196,0.0200966,0.0374447
1993-11-01,0.0489746,-0.017239,-0.011335,-0.0154619,-0.0149213,-0.0297515,-0.0338487,-0.0359247,-0.0073888,0.0019639
1993-12-01,0.0254062,0.0345921,0.0668375,0.0650005,0.0508033,0.0410798,0.0617952,0.0471654,0.0865335,0.0676677
1994-01-01,0.0188434,0.1482349,0.1519257,0.1094349,0.1293599,0.0927789,0.0880875,0.116594,0.0776155,0.024883
1994-02-01,0.0013046,0.0157222,-0.0006947,0.0114454,0.0042488,0.0146678,0.0099962,-0.0096217,-0.0271166,-0.0419778
1994-03-01,-0.0224949,-0.0347519,-0.0346066,-0.0495645,-0.0626439,-0.0709593,-0.0628592,-0.0715262,-0.047381,-0.0603889
1994-04-01,0.0595296,0.0201706,0.0312112,0.0145405,0.0158562,0.0158456,0.0148234,0.0191816,0.0011585,0.0159448
1994-05-01,0.0149372,0.002488,-0.0041595,-0.0343938,-0.0042582,-0.0279816,-0.0325016,-0.0418547,-0.0570103,-0.056451
1994-06-01,-0.0483531,-0.0552217,-0.027051,-0.0409539,-0.0420306,-0.0492089,-0.0585425,-0.0564079,-0.0404453,-0.0159344
1994-07-01,0.0398816,0.0155129,0.01253,-0.0074655,0.0044339,0.0186426,0.0323952,0.0337452,0.0644286,0.054543
1994-08-01,0.0436444,0.0602244,0.0267277,0.0377043,0.035857,0.0322625,0.0319752,0.0248265,0.0385146,0.0629856
1994-09-01,-0.0094892,-0.0149001,-0.0253093,-0.0329358,-0.0132008,-0.0333085,-0.0382614,-0.0493027,-0.0838962,-0.075446
1994-10-01,-0.0410585,-0.018977,-0.0311223,-0.0300104,-0.0137258,-0.0259902,-0.0151258,-0.0244501,0.0075378,0.015514
1994-11-01,-0.0161111,-0.028599,-0.0074102,-0.0220729,-0.0095738,-0.0210529,-0.009754,-0.0157646,0.0010097,-0.0079989
1994-12-01,0.0007484,-0.0020629,-0.0161391,-0.0105995,-0.0108792,-0.0138619,-0.0088453,-0.0101311,-0.0111364,0.0022358
1995-01-01,-0.0336369,-0.0114868,-0.001105,-0.0073318,-0.0176859,-0.0088454,-0.0193252,-0.0285564,-0.0286852,-0.026508
1995-02-01,-0.0532728,-0.0542357,-0.0297695,-0.0184096,-0.0096565,-0.017527,-0.0044725,-0.0222126,-0.0081649,-0.0009615
1995-03-01,-0.0085346,0.0069436,-0.0111142,-0.0092097,-0.0077194,-3.21e-05,-0.0003729,0.0274709,0.0425922,0.0339387
1995-04-01,0.0006051,0.018658,0.0253689,0.0009342,0.017859,0.0232122,0.0336033,0.02667,0.0234459,0.0197812
1995-05-01,0.0277032,0.0600103,0.0404836,0.0479998,0.0448893,0.0562958,0.052584,0.0503056,0.0320117,0.0279876
1995-06-01,-0.0033921,-0.0146933,-0.0025566,-0.0132585,-0.0154828,0.0019928,-0.0083769,-0.0179189,-0.0139374,-0.0009547
1995-07-01,0.0323991,0.0455915,0.0194227,0.0180509,0.023708,0.0480793,0.0344495,0.046886,0.0701432,0.0427138
1995-08-01,0.0225697,0.0259897,0.0435988,0.0290814,0.0742409,0.0261045,0.0366464,0.0219267,0.0140056,0.0073337
1995-09-01,0.0058529,0.0117453,0.0034156,0.0058898,0.0175888,0.0037868,0.002688,0.0185418,0.0042842,-0.0005447
1995-10-01,-0.0206292,-0.0006701,-0.0123221,-0.0139405,-0.0135318,0.0074939,-0.0158628,-0.0229248,-0.0130397,-0.0122171
1995-11-01,-0.0060732,0.0370646,0.0136195,0.0061625,0.0290353,0.0160211,-0.0037148,-0.0046154,0.0055085,0.0221021
1995-12-01,0.0077549,0.0014474,0.0010565,-0.0010556,0.0148785,0.0013127,0.0110097,-0.0022043,0.0151662,0.0129104
1996-01-01,-0.0011175,0.0088582,0.0149587,0.0148679,0.0201807,0.0246521,0.029597,0.0401573,0.0209824,0.0132797
1996-02-01,-0.0078119,0.0263424,0.0282699,0.0030423,0.0202775,0.0210673,0.0209754,0.0234029,0.0185926,-0.0052183
1996-03-01,0.0457151,0.0257363,-0.0028003,0.0359729,0.0276707,0.032867,0.0197385,0.0222154,0.0300798,0.0061422
1996-04-01,0.071038,0.0910818,0.0619864,0.0635056,0.0612704,0.0738342,0.0696182,0.0702414,0.0589166,0.0344385
1996-05-01,0.0593172,0.0412861,0.0316672,0.0261683,0.0226122,0.0165251,0.0138027,-0.0210783,-0.0193229,-0.0246968
1996-06-01,-0.0298701,-0.0094331,-0.0234706,-0.0199775,-0.0283973,-0.0134437,-0.0122302,-0.0152906,-0.0229709,-0.0144091
1996-07-01,-0.029875,-0.0127466,-0.0072842,-0.0348122,-0.0483172,-0.0344848,-0.0550715,-0.0431941,-0.0305262,-0.0119786
1996-08-01,0.0212013,0.0229978,0.0230495,0.0218773,0.0234287,0.0314894,0.0301347,0.0378498,0.0407422,0.0408349
1996-09-01,0.0005009,0.0315559,0.0008512,0.008062,0.0219814,0.0077972,0.0044334,-0.0059593,0.0074341,0.0105661
1996-10-01,0.0120859,-0.0197318,-0.000312,-0.0226609,-0.0162339,-0.0084706,0.002976,0.0169679,0.008109,-0.0065572
1996-11-01,-0.0036676,-0.0083729,-0.0241904,-0.0192798,0.0028491,0.0106131,-0.0017391,-0.0153592,-0.0037143,0.0168266
1996-12-01,0.0093522,0.0212517,-0.0082665,-0.0044504,0.0118237,-0.0063907,0.0022105,0.015623,0.0055529,0.011834
1997-01-01,0.0335494,0.0453732,0.0571577,0.0558727,0.0626812,0.0509353,0.0619773,0.0465669,0.030476,0.0107951
1997-02-01,0.0500017,0.0367298,0.0349622,0.0321262,0.0051355,0.019748,0.0124946,0.0142946,0.0026032,0.0026559
