date,smb,hml,umd,rf,rm,rmrf,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,XS1,XS2,XS3,XS4,XS5,XS6,XS7,XS8,XS9,XS10,XS1_W,XS2_W,XS3_W,XS4_W,XS5_W,XS5_W,XS6_W,XS7_W,XS8_W,XS9_W,XS10_W
1983-06-01,-0.0005095,0.0207663,0.0069306,0.0074358,0.051166,0.0437301,0.0369228,0.0245993,0.0199081,0.0602522,0.0308385,0.0150647,0.054407,0.0478542,0.0514945,0.0507541,0.029487,0.0171635,0.0124723,0.0528164,0.0234027,0.0076289,0.0469712,0.0404184,0.0440587,0.0433183,0.029487,0.0171635,0.0124723,0.0528164,0.0234027,0.0234027,0.0076289,0.0469712,0.0404184,0.0440587,0.0433183
1983-07-01,0.0226778,-0.007532,0.0392531,0.0075114,-0.0230307,-0.0305421,0.025596,0.0096429,0.0126931,-0.0196014,0.0142624,-0.0002573,0.0072738,-0.0031612,-0.0161754,-0.024241,0.0180846,0.0021315,0.0051817,-0.0271128,0.006751,-0.0077687,-0.0002376,-0.0106726,-0.0236868,-0.0317524,0.0180846,0.0021315,0.0051817,-0.0271128,0.006751,0.006751,-0.0077687,-0.0002376,-0.0106726,-0.0236868,-0.0317524
1983-08-01,-0.0201525,0.0355062,0.027316,0.0074694,0.0137943,0.0063249,0.0431636,0.0423556,0.0159982,0.0318742,0.0107603,0.0100313,0.0091155,0.0218767,0.001443,0.0417454,0.0356942,0.0348862,0.0085288,0.0244048,0.0032909,0.0025619,0.0016461,0.0144073,-0.0060264,0.034276,0.0356942,0.0348862,0.0085288,0.0244048,0.0032909,0.0032909,0.0025619,0.0016461,0.0144073,-0.0060264,0.034276
1983-09-01,-0.0048284,0.018993,0.0017475,0.007184,-0.0067769,-0.0139609,-0.0065738,0.0034847,-0.002459,0.0052718,0.0068965,0.008402,0.0116391,-0.0126729,-0.0170162,-0.0011615,-0.0137578,-0.0036993,-0.009643,-0.0019122,-0.0002875,0.001218,0.0044551,-0.0198569,-0.0242002,-0.0083455,-0.0137578,-0.0036993,-0.009643,-0.0019122,-0.0002875,-0.0002875,0.001218,0.0044551,-0.0198569,-0.0242002,-0.0083455
1983-10-01,-0.012483,0.0267581,-0.0298821,0.0070749,-0.0142968,-0.0213717,0.0245631,0.0088899,0.0175201,-0.0033449,-0.0130556,-0.034508,-0.0023369,-0.009421,-0.0211521,-0.0026986,0.0174882,0.001815,0.0104452,-0.0104198,-0.0201305,-0.0415829,-0.0094118,-0.0164959,-0.028227,-0.0097735,0.0174882,0.001815,0.0104452,-0.0104198,-0.0201305,-0.0201305,-0.0415829,-0.0094118,-0.0164959,-0.028227,-0.0097735
1983-11-01,0.0041391,-0.0005635,0.0182748,0.0071001,0.060139,0.0530389,0.0591738,0.0613162,0.0352428,0.0551737,0.0458185,0.0201352,0.0412592,0.0598693,0.0527724,0.0479536,0.0520737,0.0542161,0.0281427,0.0480736,0.0387184,0.0130351,0.0341591,0.0527692,0.0456723,0.0408535,0.0520737,0.0542161,0.0281427,0.0480736,0.0387184,0.0387184,0.0130351,0.0341591,0.0527692,0.0456723,0.0408535
1983-12-01,0.0038085,0.0149452,0.0083098,0.0070833,0.0226528,0.0155695,0.0347468,0.0354787,0.0097471,0.0380722,0.0429987,0.0189864,0.0190126,0.0460771,0.0360569,0.028961,0.0276635,0.0283954,0.0026638,0.0309889,0.0359154,0.0119031,0.0119293,0.0389938,0.0289736,0.0218777,0.0276635,0.0283954,0.0026638,0.0309889,0.0359154,0.0359154,0.0119031,0.0119293,0.0389938,0.0289736,0.0218777
1984-01-01,0.0098286,0.0438854,0.0219001,0.0071001,0.0694024,0.0623023,0.0973789,0.0552654,0.0855133,0.0809786,0.0835273,0.0885262,0.0723803,0.0680244,0.0887408,0.0589167,0.0902788,0.0481653,0.0784132,0.0738785,0.0764272,0.0814261,0.0652802,0.0609243,0.0816407,0.0518166,0.0902788,0.0481653,0.0784132,0.0738785,0.0764272,0.0764272,0.0814261,0.0652802,0.0609243,0.0816407,0.0518166
1984-02-01,0.0181935,0.0119937,-0.0030844,0.0070917,-0.0128172,-0.0199088,0.0481273,0.0558829,0.0714262,0.0374811,0.0218944,0.0252716,0.0207236,0.0195146,0.0040769,-0.0097432,0.0410356,0.0487912,0.0643345,0.0303894,0.0148027,0.0181799,0.0136319,0.0124229,-0.0030148,-0.0168349,0.0410356,0.0487912,0.0643345,0.0303894,0.0148027,0.0148027,0.0181799,0.0136319,0.0124229,-0.0030148,-0.0168349
1984-03-01,-0.0344402,0.0079502,-0.0008695,0.0067309,0.0669456,0.0602147,0.0437527,0.0603998,0.0484998,0.0537645,0.0493224,0.0459305,0.0581315,0.0510814,0.0390037,0.085316,0.0370218,0.0536689,0.0417689,0.0470336,0.0425915,0.0391996,0.0514006,0.0443505,0.0322728,0.0785851,0.0370218,0.0536689,0.0417689,0.0470336,0.0425915,0.0425915,0.0391996,0.0514006,0.0443505,0.0322728,0.0785851
